"","Source_Name","ASSOC_FGL","Signif","PL_Flux_Density","LP_Flux_Density","PLEC_Flux_Density","RA","DEC","GLON","GLAT","ASSOC1","CLASS1","ASSOC2","CLASS2","Flags","FGL3_Source_name","BLR_P_PLEC","BLR_Pred_PLEC","BLR_P_LP","BLR_Pred_LP","RF_P_LP","RF_Pred_LP","PSR_Out","AGN_Out","XGB_P_PLEC","XGB_Pred_PLEC","XGB_P_LP","XGB_Pred_LP","ANN_Pred_LP","ANN_P_LP.1","ANN_P_LP.2","ANN_Pred_PLEC","ANN_P_PLEC.1","ANN_P_PLEC.2"
"2524","1326.6-4729","3FGL J1326.7-4727 ", 24.010,"6.05e-13","9.72e-13","9.77e-13","201.665","-47.4930","309.078"," 1.5e+01","Omega Cen                   ","glc","                              ","",   0,"1326.7-4727",0.947,"PSR",0.934,"PSR",0.998,"PSR",    -0.629, 373.193,0.9994379878,"PSR",0.970061302,"PSR","PSR",2.849207e-01,7.150793e-01,"PSR",2.438318e-01,7.561682e-01
"2525","1326.7-0503","                  ",  4.345,"8.12e-16","9.51e-16","9.28e-16","201.699"," -5.0629","319.118"," 5.7e+01","TXS 1324-047                ","fsrq","                              ","",   0,"",0.004,"AGN",0.002,"AGN",0.000,"AGN",  3782.645,  -0.421,0.0005076690,"AGN",0.966064572,"PSR","AGN",9.995229e-01,4.770995e-04,"AGN",9.997829e-01,2.171006e-04
"2526","1326.8-5256","3FGL J1326.6-5256 ", 35.291,"2.75e-12","3.16e-12","3.03e-12","201.720","-52.9376","308.334"," 9.6e+00","PMN J1326-5256              ","bll","                              ","",   0,"1326.6-5256",0.004,"AGN",0.012,"AGN",0.026,"AGN",  8760.181,   1.971,0.0012205703,"AGN",0.026803156,"AGN","AGN",9.083503e-01,9.164971e-02,"AGN",9.935963e-01,6.403715e-03
"2527","1326.9+2210","3FGL J1326.8+2211 ", 38.583,"7.85e-12","8.66e-12","8.36e-12","201.730"," 22.1732","  3.269"," 8.1e+01","B2 1324+22                  ","fsrq","                              ","",   0,"1326.8+2211",0.000,"AGN",0.001,"AGN",0.004,"AGN",  3035.577,   0.435,0.0012375708,"AGN",0.015464446,"AGN","AGN",7.474837e-01,2.525162e-01,"AGN",9.778783e-01,2.212166e-02
"2528","1327.8+2522","3FGL J1327.9+2524 ",  4.885,"2.92e-15","4.06e-15","3.75e-15","201.955"," 25.3822"," 22.890"," 8.2e+01","NVSS J132758+252750         ","bll","                              ","",   0,"1327.9+2524",0.004,"AGN",0.006,"AGN",0.004,"AGN",  2960.165,  -0.284,0.0011115670,"AGN",0.972091913,"PSR","AGN",9.987041e-01,1.295861e-03,"AGN",9.996110e-01,3.890381e-04
"2529","1328.4-6231","                  ",  6.703,"1.86e-12","3.16e-12","3.04e-12","202.117","-62.5203","307.189"," 4.5e-02","                            ","","                              ","",   1,"",0.421,"PSR",0.769,"PSR",0.772,"PSR",    45.302, 797.627,0.9856492877,"PSR",0.713679969,"PSR","PSR",2.849207e-01,7.150793e-01,"PSR",2.438318e-01,7.561682e-01
"2530","1328.5-4727","3FGL J1328.5-4728 ", 16.638,"3.22e-14","3.36e-14","3.44e-14","202.134","-47.4613","309.407"," 1.5e+01","1WGA J1328.6-4727           ","bll","                              ","",   0,"1328.5-4728",0.007,"AGN",0.005,"AGN",0.012,"AGN", 12631.565,  -0.374,0.0016879902,"AGN",0.907691598,"PSR","AGN",9.997093e-01,2.906243e-04,"AGN",9.981110e-01,1.888934e-03
"2531","1329.0-5607","3FGL J1328.9-5607 ", 49.456,"8.35e-12","9.48e-12","9.11e-12","202.267","-56.1186","308.193"," 6.4e+00","PMN J1329-5608              ","bcu","                              ","",   0,"1328.9-5607",0.074,"AGN",0.052,"AGN",0.004,"AGN",  6711.590,   3.432,0.0026130788,"AGN",0.016538000,"AGN","PSR",2.849207e-01,7.150793e-01,"AGN",6.282963e-01,3.717038e-01
"2532","1329.4-0530","3FGL J1329.1-0536 ",  9.865,"1.56e-13","2.04e-13","1.94e-13","202.374"," -5.5060","320.086"," 5.6e+01","HE 1326-0516                ","bcu","                              ","",   0,"1329.1-0536",0.313,"PSR",0.205,"PSR",0.368,"AGN",   657.006,  48.274,0.5447376966,"AGN",0.985848665,"PSR","PSR",2.849207e-01,7.150793e-01,"PSR",2.438318e-01,7.561682e-01
"2533","1329.9-6108","3FGL J1329.8-6109 ", 21.252,"7.44e-13","1.01e-12","9.74e-13","202.487","-61.1406","307.564"," 1.4e+00","                            ","","                              ","",   0,"1329.8-6109",0.947,"PSR",0.934,"PSR",1.000,"PSR",    -0.550, 376.700,0.9989841580,"PSR",0.973313808,"PSR","PSR",2.849207e-01,7.150793e-01,"PSR",2.438318e-01,7.561682e-01
